RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
28,15600027,Customer00027,775,France,Male,39,10,0.0,1,1,1,1000.0,0
29,15600028,Customer00028,748,France,Male,33,6,0.0,2,1,0,194471.14,0
30,15600029,Customer00029,617,Germany,Male,32,7,0.0,2,1,1,133376.26,0
31,15600030,Customer00030,615,Germany,Male,25,9,44267.16,1,1,0,122300.05,0
32,15600031,Customer00031,608,Spain,Female,48,10,0.0,1,1,1,1000.0,0
33,15600032,Customer00032,608,France,Male,38,10,161325.96,2,0,0,92001.81,0
34,15600033,Customer00033,678,France,Female,61,1,6902.23,2,0,1,188688.78,0
35,15600034,Customer00034,752,France,Female,46,3,0.0,2,1,1,174500.35,0
36,15600035,Customer00035,850,France,Male,48,8,255050.57,1,0,1,87484.84,0
37,15600036,Customer00036,570,France,Female,36,0,0.0,1,0,0,170113.33,0
38,15600037,Customer00037,713,France,Male,28,2,153114.25,2,1,1,190288.67,0
39,15600038,Customer00038,702,France,Female,30,5,0.0,1,1,1,91114.57,0
40,15600039,Customer00039,618,Germany,Male,25,3,0.0,1,1,1,175786.2,1
41,15600040,Customer00040,552,France,Female,49,1,26602.9,2,1,1,173203.54,0
42,15600041,Customer00041,676,Spain,Female,35,9,0.0,3,1,1,148233.09,0
43,15600042,Customer00042,850,Germany,Male,49,4,76108.13,2,1,1,153802.87,0
44,15600043,Customer00043,676,France,Female,40,4,64443.09,2,1,0,49791.37,0
45,15600044,Customer00044,574,Spain,Male,36,7,0.0,3,1,1,145131.67,0
46,15600045,Customer00045,635,Spain,Female,27,7,68104.3,1,1,0,92780.36,0
47,15600046,Customer00046,541,France,Male,42,5,36096.07,1,0,0,48009.3,0
48,15600047,Customer00047,652,France,Male,37,9,18805.26,1,1,1,187436.99,0
49,15600048,Customer00048,716,Germany,Male,48,3,13543.58,2,1,1,93224.08,0
50,15600049,Customer00049,584,France,Male,31,9,87900.23,2,0,0,113483.07,0
51,15600050,Customer00050,350,France,Female,45,9,0.0,3,1,0,108102.86,0
52,15600051,Customer00051,677,France,Male,56,0,0.0,2,1,0,10498.36,0
53,15600052,Customer00052,602,Spain,Male,42,8,0.0,1,1,0,82999.98,0
54,15600053,Customer00053,578,Germany,Male,47,1,0.0,1,1,1,144483.8,0
55,15600054,Customer00054,577,Germany,Male,45,5,90924.23,2,0,1,100826.75,0
56,15600055,Customer00055,688,Spain,Male,59,10,61655.11,2,0,1,79706.16,0
57,15600056,Customer00056,611,France,Male,43,2,86014.05,2,0,1,119177.05,0
58,15600057,Customer00057,739,Germany,Female,46,6,133918.43,1,0,1,161759.78,0
59,15600058,Customer00058,741,France,Male,39,8,0.0,1,1,1,6024.75,0
60,15600059,Customer00059,624,France,Male,31,5,0.0,1,0,0,93982.04,0
61,15600060,Customer00060,600,Germany,Male,26,0,0.0,2,1,0,101108.05,1
62,15600061,Customer00061,662,France,Female,52,0,81431.72,1,1,1,201742.7,0
63,15600062,Customer00062,636,Germany,Male,28,5,59951.05,2,0,1,169369.28,0
64,15600063,Customer00063,482,Spain,Male,47,0,74455.48,2,1,1,20619.89,0
65,15600064,Customer00064,834,Germany,Male,43,0,128601.61,2,1,1,177039.55,1
66,15600065,Customer00065,719,Germany,Female,49,10,0.0,1,0,1,91331.42,0
67,15600066,Customer00066,606,Germany,Female,34,5,143375.96,1,1,0,7456.62,0
68,15600067,Customer00067,466,France,Female,31,5,51424.58,1,0,0,22763.26,0
69,15600068,Customer00068,633,France,Female,43,1,119596.58,1,1,0,178504.28,0
70,15600069,Customer00069,594,France,Male,36,8,107411.57,1,1,0,126136.14,0
71,15600070,Customer00070,644,France,Female,26,5,52985.03,1,0,1,43475.3,0
72,15600071,Customer00071,442,France,Male,59,2,83266.57,2,0,1,191019.34,0
73,15600072,Customer00072,605,Spain,Female,31,8,0.0,2,1,1,140816.05,0
74,15600073,Customer00073,611,France,Female,29,2,0.0,3,1,0,85276.89,0
75,15600074,Customer00074,632,France,Male,36,5,0.0,1,1,0,117192.43,0
76,15600075,Customer00075,627,France,Male,52,6,55176.34,2,0,0,49577.79,0
77,15600076,Customer00076,655,France,Female,18,3,50862.55,1,1,0,214949.39,0
78,15600077,Customer00077,796,Germany,Female,51,9,135372.15,2,1,1,31790.26,0
79,15600078,Customer00078,601,Germany,Male,29,7,159078.1,2,1,0,25918.72,1
80,15600079,Customer00079,563,Spain,Male,42,3,95563.17,1,1,1,111194.1,0
81,15600080,Customer00080,484,Germany,Female,32,1,116831.48,1,1,0,220000.0,0
82,15600081,Customer00081,601,France,Male,60,3,156794.15,1,0,1,19168.79,0
83,15600082,Customer00082,515,Spain,Female,40,5,65163.28,1,0,0,146877.56,1
84,15600083,Customer00083,742,France,Male,32,6,0.0,1,1,0,104012.86,0
85,15600084,Customer00084,641,France,Female,36,4,106177.16,1,0,1,122967.17,0
86,15600085,Customer00085,740,France,Male,40,0,49402.1,2,0,0,165668.45,1
87,15600086,Customer00086,791,Germany,Male,41,7,181340.79,1,0,1,60587.61,0
88,15600087,Customer00087,567,France,Female,44,4,0.0,1,1,0,85184.37,0
89,15600088,Customer00088,617,France,Male,39,3,0.0,2,0,1,60362.5,0
90,15600089,Customer00089,778,Germany,Female,25,6,194815.32,2,0,1,180595.71,0
91,15600090,Customer00090,668,France,Female,35,9,0.0,1,0,0,173154.21,0
92,15600091,Customer00091,700,Germany,Female,45,0,0.0,2,1,1,35366.63,0
93,15600092,Customer00092,749,France,Female,32,10,35044.91,1,1,1,121904.69,0
94,15600093,Customer00093,736,France,Male,46,7,76010.5,2,1,1,160301.52,0
95,15600094,Customer00094,689,France,Female,39,6,1235.44,2,1,1,8561.35,0
96,15600095,Customer00095,784,Germany,Male,37,0,53005.53,1,1,1,179818.57,0
97,15600096,Customer00096,643,France,Female,52,7,0.0,1,1,0,96254.55,1
98,15600097,Customer00097,700,France,Male,21,7,90775.84,2,0,1,73926.09,0
99,15600098,Customer00098,633,France,Female,32,6,131529.97,2,0,1,180313.36,0
100,15600099,Customer00099,748,Spain,Male,52,8,0.0,2,0,1,165022.27,0
101,15600100,Customer00100,583,Spain,Female,58,9,68196.1,1,1,1,21303.07,0
102,15600101,Customer00101,488,Germany,Female,63,9,0.0,1,1,1,141459.78,0
103,15600102,Customer00102,713,France,Male,40,3,72014.74,2,1,1,139141.0,0
104,15600103,Customer00103,552,Spain,Male,44,7,78001.09,1,0,0,1000.0,0
105,15600104,Customer00104,543,Spain,Male,48,0,0.0,1,1,1,132267.71,1
106,15600105,Customer00105,771,Germany,Female,52,6,0.0,1,0,1,76301.75,0
107,15600106,Customer00106,743,France,Female,42,1,89460.58,1,1,0,164916.08,0
108,15600107,Customer00107,617,France,Male,49,3,14356.4,1,1,0,50820.3,1
109,15600108,Customer00108,358,France,Male,44,7,100969.96,2,0,0,107052.08,0
110,15600109,Customer00109,701,Spain,Male,44,4,17893.5,1,0,0,69216.36,0
111,15600110,Customer00110,714,France,Female,29,9,118948.76,1,1,1,63446.95,0
112,15600111,Customer00111,700,France,Female,36,0,0.0,2,1,1,1000.0,0
113,15600112,Customer00112,695,France,Male,34,10,76927.39,2,0,1,161265.93,0
114,15600113,Customer00113,633,Germany,Male,27,7,60726.62,2,1,1,166737.19,0
115,15600114,Customer00114,611,France,Female,22,4,50785.29,2,1,1,104143.66,0
116,15600115,Customer00115,544,Spain,Male,35,0,61555.03,1,1,1,121310.91,0
117,15600116,Customer00116,583,Spain,Male,36,0,149262.32,2,1,1,57814.39,0
118,15600117,Customer00117,681,Germany,Female,40,4,0.0,2,0,0,161805.68,1
119,15600118,Customer00118,682,France,Female,45,6,35815.55,1,1,1,114174.72,0
120,15600119,Customer00119,726,Germany,Male,41,5,141512.95,2,1,1,103585.9,0
121,15600120,Customer00120,515,Germany,Female,36,3,0.0,2,1,1,184602.46,1
122,15600121,Customer00121,491,Germany,Male,29,7,159298.88,2,1,0,25184.48,0
123,15600122,Customer00122,614,France,Male,48,6,72326.98,2,1,1,1000.0,0
124,15600123,Customer00123,552,France,Female,38,3,0.0,3,0,1,125569.65,0
125,15600124,Customer00124,668,France,Male,34,3,0.0,1,0,1,87997.0,0
126,15600125,Customer00125,524,France,Female,37,4,57479.91,2,1,0,34730.23,1
127,15600126,Customer00126,763,France,Female,31,8,123163.19,1,0,1,109891.57,0
128,15600127,Customer00127,571,France,Male,33,6,60209.93,2,1,1,120892.82,0
129,15600128,Customer00128,803,France,Male,33,1,55435.75,1,1,0,150556.86,0
130,15600129,Customer00129,700,Germany,Female,36,10,0.0,1,0,0,36579.99,0
131,15600130,Customer00130,549,France,Male,46,2,77718.73,2,1,0,76468.81,0
132,15600131,Customer00131,850,Spain,Male,43,7,0.0,1,1,1,117199.73,0
133,15600132,Customer00132,675,Germany,Male,55,0,13906.2,2,0,0,163736.96,0
134,15600133,Customer00133,666,France,Male,52,2,0.0,1,1,1,152321.02,0
135,15600134,Customer00134,644,Germany,Female,60,6,140964.42,2,0,0,71659.32,1
136,15600135,Customer00135,695,France,Female,45,9,10423.41,2,1,1,129854.66,0
137,15600136,Customer00136,700,Spain,Male,45,6,51038.2,2,1,1,70065.59,0
138,15600137,Customer00137,567,France,Female,34,0,117352.31,1,1,1,76270.8,0
139,15600138,Customer00138,629,Spain,Male,48,10,0.0,2,1,0,82076.11,0
140,15600139,Customer00139,661,France,Female,32,2,0.0,1,0,0,63053.91,0
141,15600140,Customer00140,706,France,Female,24,4,55757.5,3,1,1,142255.67,0
142,15600141,Customer00141,708,France,Female,55,1,561.05,2,1,0,153523.32,0
143,15600142,Customer00142,666,Spain,Female,26,7,186195.22,1,0,0,76980.12,0
144,15600143,Customer00143,597,Germany,Female,44,4,54831.07,2,0,1,109994.67,0
145,15600144,Customer00144,592,France,Male,30,2,0.0,1,0,1,77890.53,0
146,15600145,Customer00145,536,France,Male,51,7,6487.36,3,1,0,46105.61,1
147,15600146,Customer00146,707,France,Female,52,2,0.0,1,1,0,37286.09,0
148,15600147,Customer00147,591,Germany,Female,45,5,196737.96,1,1,1,200527.35,1
149,15600148,Customer00148,632,France,Male,52,7,0.0,1,1,1,57225.07,0
150,15600149,Customer00149,673,France,Female,39,8,65797.26,2,0,1,136520.12,0
151,15600150,Customer00150,650,Spain,Male,62,7,158329.12,2,0,0,122433.6,0
152,15600151,Customer00151,649,Spain,Male,47,6,46957.2,1,1,1,31506.45,0
153,15600152,Customer00152,563,France,Male,30,0,0.0,1,1,1,124381.67,0
154,15600153,Customer00153,676,Germany,Male,40,2,0.0,1,1,0,116975.08,1
155,15600154,Customer00154,620,France,Male,37,6,0.0,2,1,0,98614.44,0
156,15600155,Customer00155,642,Germany,Male,36,5,94912.71,3,1,0,74939.43,1
157,15600156,Customer00156,761,France,Male,22,5,39453.36,2,0,1,99844.83,0
158,15600157,Customer00157,699,Germany,Female,43,8,0.0,2,1,0,127191.49,0
159,15600158,Customer00158,595,Germany,Female,24,9,0.0,1,1,0,50484.72,0
160,15600159,Customer00159,636,Spain,Female,18,5,0.0,1,1,1,182635.07,0
161,15600160,Customer00160,804,France,Female,35,1,0.0,2,1,1,139511.15,0
162,15600161,Customer00161,620,Spain,Male,31,4,0.0,2,1,0,1000.0,0
163,15600162,Customer00162,654,France,Female,30,2,0.0,1,1,1,87111.14,0
164,15600163,Customer00163,714,France,Female,18,5,0.0,1,1,1,220000.0,0
165,15600164,Customer00164,671,Germany,Female,30,6,0.0,1,1,0,120557.15,0
166,15600165,Customer00165,614,France,Male,37,6,14925.15,2,1,0,58320.48,0
167,15600166,Customer00166,579,Spain,Male,32,6,40303.06,3,1,1,136780.45,0
168,15600167,Customer00167,649,Spain,Male,43,3,0.0,1,0,1,1000.0,0
169,15600168,Customer00168,713,France,Female,54,1,51841.51,2,0,1,115460.87,0
170,15600169,Customer00169,777,Spain,Female,44,9,0.0,2,0,0,71165.87,0
171,15600170,Customer00170,509,France,Male,50,4,109099.89,1,1,1,102465.89,0
172,15600171,Customer00171,819,Germany,Male,51,2,33297.64,1,1,0,23516.34,0
173,15600172,Customer00172,622,France,Male,28,10,68921.21,1,0,0,75250.94,0
174,15600173,Customer00173,739,Spain,Male,44,0,138393.92,2,0,1,1000.0,0
175,15600174,Customer00174,579,France,Female,49,3,111451.42,1,0,0,64418.1,0
176,15600175,Customer00175,495,France,Male,34,8,37479.04,2,1,1,106966.23,0
177,15600176,Customer00176,524,France,Male,31,4,0.0,2,0,1,164042.7,0
178,15600177,Customer00177,618,Spain,Male,45,9,0.0,2,1,1,220000.0,0
179,15600178,Customer00178,700,Spain,Male,23,3,32237.63,2,1,0,52907.41,0
180,15600179,Customer00179,653,Germany,Female,28,7,44129.04,1,1,1,129079.01,0
181,15600180,Customer00180,626,Spain,Female,32,4,138031.26,2,1,0,80683.16,0
182,15600181,Customer00181,757,Spain,Male,44,5,124277.92,2,0,0,82798.41,0
183,15600182,Customer00182,650,Germany,Male,41,5,0.0,1,1,1,105109.49,0
184,15600183,Customer00183,677,France,Female,50,10,13653.26,1,0,0,90877.79,0
185,15600184,Customer00184,850,Spain,Female,29,8,119113.51,1,0,0,207371.7,0
186,15600185,Customer00185,649,Germany,Male,29,4,3188.78,2,0,0,82843.23,0
187,15600186,Customer00186,583,France,Female,45,4,125906.15,1,0,0,34242.4,0
188,15600187,Customer00187,696,France,Female,31,4,196018.8,2,0,0,110554.11,0
189,15600188,Customer00188,720,Germany,Male,33,8,99143.96,3,1,1,38243.96,0
190,15600189,Customer00189,679,France,Male,20,6,18774.72,1,0,1,78790.53,0
191,15600190,Customer00190,665,Spain,Male,42,5,86943.36,1,1,1,160938.01,0
192,15600191,Customer00191,792,France,Male,55,4,140146.01,1,0,0,85729.32,0
193,15600192,Customer00192,780,France,Female,28,4,0.0,1,0,0,129923.87,0
194,15600193,Customer00193,639,Spain,Male,50,6,105997.86,2,1,0,87957.84,1
195,15600194,Customer00194,588,France,Male,38,9,0.0,1,1,1,115008.84,0
196,15600195,Customer00195,691,France,Male,20,10,0.0,1,1,1,59958.67,0
197,15600196,Customer00196,588,Germany,Male,30,0,132175.53,1,1,1,146653.72,0
198,15600197,Customer00197,735,Spain,Female,29,2,31852.14,1,1,0,24225.01,1
199,15600198,Customer00198,691,France,Female,36,7,0.0,2,0,1,53956.61,0
200,15600199,Customer00199,850,France,Female,43,1,0.0,1,1,1,104679.11,0
201,15600200,Customer00200,791,Spain,Female,58,6,95480.15,2,1,1,147417.36,0
202,15600201,Customer00201,546,Spain,Male,24,4,141627.66,2,1,0,112161.46,0
203,15600202,Customer00202,600,Germany,Female,34,2,178038.09,2,0,1,129469.5,0
204,15600203,Customer00203,466,France,Male,30,5,81251.4,1,1,0,29942.53,0
205,15600204,Customer00204,445,France,Female,26,5,116834.26,1,1,1,81817.89,0
206,15600205,Customer00205,661,France,Female,40,7,83478.83,1,1,1,113718.4,0
207,15600206,Customer00206,536,France,Female,39,9,0.0,1,1,1,103214.19,0
208,15600207,Customer00207,808,Germany,Female,20,10,64414.71,2,1,1,37813.29,0
209,15600208,Customer00208,761,France,Male,39,4,99959.37,2,1,1,51520.36,0
210,15600209,Customer00209,624,Germany,Male,26,7,30744.78,2,1,0,92439.81,0
211,15600210,Customer00210,618,Germany,Female,39,8,198765.3,2,1,0,142929.54,0
212,15600211,Customer00211,793,Germany,Male,52,10,0.0,1,1,0,220000.0,0
213,15600212,Customer00212,815,France,Male,44,7,111394.97,1,0,1,37301.93,0
214,15600213,Customer00213,560,Spain,Male,41,2,95812.0,2,0,1,102900.38,0
215,15600214,Customer00214,548,Germany,Female,33,3,99019.47,1,0,1,41387.1,0
216,15600215,Customer00215,621,Germany,Female,40,2,2665.32,1,1,0,98610.14,0
217,15600216,Customer00216,691,France,Male,45,2,0.0,2,1,0,77854.61,0
218,15600217,Customer00217,601,France,Male,44,3,113558.05,1,1,1,123477.69,1
219,15600218,Customer00218,693,Spain,Female,38,5,0.0,2,1,1,1000.0,0
220,15600219,Customer00219,837,France,Male,41,8,89654.21,1,0,0,80890.33,0
221,15600220,Customer00220,515,France,Female,25,3,125926.73,2,1,1,106240.84,0
222,15600221,Customer00221,607,France,Male,31,2,0.0,1,1,1,111771.4,0
223,15600222,Customer00222,517,Germany,Female,46,1,96557.57,2,1,1,118870.55,0
224,15600223,Customer00223,570,Spain,Male,48,2,0.0,1,1,0,109097.34,0
225,15600224,Customer00224,622,France,Female,40,4,56560.06,1,0,1,172276.17,0
226,15600225,Customer00225,580,Spain,Female,55,4,149514.52,2,1,1,176468.83,0
227,15600226,Customer00226,700,France,Male,44,4,0.0,2,1,0,87974.31,0
228,15600227,Customer00227,664,Germany,Female,37,3,0.0,1,1,0,70069.69,0
229,15600228,Customer00228,679,Germany,Male,26,4,0.0,1,1,1,111539.34,0
230,15600229,Customer00229,621,France,Male,54,7,0.0,2,0,0,146443.36,1
231,15600230,Customer00230,629,France,Female,47,0,76884.98,4,1,1,102384.26,1
232,15600231,Customer00231,616,France,Female,58,9,11897.11,2,0,0,37401.12,0
233,15600232,Customer00232,626,Spain,Male,62,3,0.0,1,1,0,155160.45,0
234,15600233,Customer00233,690,Germany,Male,25,1,0.0,1,1,0,122713.89,0
235,15600234,Customer00234,465,Spain,Male,26,1,0.0,2,0,1,201130.56,0
236,15600235,Customer00235,678,Spain,Female,18,6,55265.66,2,0,1,57007.98,0
237,15600236,Customer00236,567,France,Male,49,5,84821.11,1,0,0,113668.16,0
238,15600237,Customer00237,617,Spain,Male,46,0,41148.74,1,0,1,124883.05,0
239,15600238,Customer00238,500,France,Male,40,5,0.0,1,1,1,87142.99,0
240,15600239,Customer00239,616,France,Female,26,2,149856.37,2,1,0,45514.84,0
241,15600240,Customer00240,677,Spain,Female,38,10,185623.62,2,0,0,116171.69,0
242,15600241,Customer00241,694,Spain,Male,41,3,0.0,2,1,1,75293.68,0
243,15600242,Customer00242,536,France,Male,47,10,0.0,2,0,1,101596.79,0
244,15600243,Customer00243,689,Germany,Female,42,6,0.0,2,1,1,102380.21,0
245,15600244,Customer00244,759,Germany,Male,46,10,232021.26,3,0,0,39186.3,1
246,15600245,Customer00245,603,Spain,Female,38,6,56043.87,1,1,0,75034.06,0
247,15600246,Customer00246,650,Germany,Female,51,1,141210.86,1,1,1,76478.92,1
248,15600247,Customer00247,451,France,Female,46,7,12459.67,2,0,0,103859.29,1
249,15600248,Customer00248,564,France,Female,27,5,0.0,2,1,1,127311.29,0
250,15600249,Customer00249,676,France,Female,54,9,71052.88,1,1,0,118475.45,0
251,15600250,Customer00250,742,Germany,Female,52,4,206801.03,1,1,0,150101.9,1
252,15600251,Customer00251,592,Spain,Female,44,2,0.0,2,1,0,109002.94,0
253,15600252,Customer00252,850,France,Male,42,1,0.0,1,0,0,214859.03,0
254,15600253,Customer00253,680,France,Male,56,8,117337.31,2,1,0,122443.95,0
255,15600254,Customer00254,528,France,Male,22,2,4778.44,2,0,1,23327.77,0
256,15600255,Customer00255,774,Germany,Female,52,7,33743.18,3,1,1,77707.68,0
257,15600256,Customer00256,530,Spain,Male,34,1,107644.21,2,1,1,220000.0,0
258,15600257,Customer00257,682,France,Female,50,0,0.0,1,0,1,22944.6,0
259,15600258,Customer00258,561,France,Male,40,7,0.0,2,1,0,127501.88,0
260,15600259,Customer00259,520,Germany,Male,26,3,96557.13,1,1,0,220000.0,0
261,15600260,Customer00260,742,France,Female,34,6,97428.28,1,1,1,29517.22,0
262,15600261,Customer00261,625,Spain,Female,50,0,159465.15,2,1,0,191321.34,1
263,15600262,Customer00262,816,France,Male,37,2,0.0,2,1,1,191229.28,0
264,15600263,Customer00263,552,France,Male,32,0,189296.02,2,1,0,84795.26,0
265,15600264,Customer00264,500,Spain,Male,32,3,30369.14,2,1,0,1000.0,0
266,15600265,Customer00265,604,France,Male,46,3,0.0,2,0,0,136146.38,0
267,15600266,Customer00266,850,France,Male,57,4,0.0,2,0,0,96084.36,0
268,15600267,Customer00267,730,France,Female,18,2,4327.42,1,1,1,90466.5,0
269,15600268,Customer00268,703,France,Male,68,5,0.0,1,1,1,139829.2,0
270,15600269,Customer00269,706,France,Female,41,9,0.0,1,0,0,101945.27,0
271,15600270,Customer00270,603,France,Male,45,0,0.0,2,1,1,10116.11,0
272,15600271,Customer00271,850,France,Female,34,9,66534.74,3,0,0,94618.34,1
273,15600272,Customer00272,694,France,Male,39,4,170608.72,3,1,1,122133.2,0
274,15600273,Customer00273,685,Germany,Male,41,6,0.0,1,0,0,129625.87,0
275,15600274,Customer00274,745,Germany,Female,28,7,153679.96,4,1,1,174741.77,1
276,15600275,Customer00275,528,France,Female,31,8,0.0,2,1,0,1000.0,1
277,15600276,Customer00276,566,France,Female,51,10,0.0,1,0,0,159297.25,1
278,15600277,Customer00277,626,Germany,Male,23,10,0.0,2,1,1,79212.48,0
279,15600278,Customer00278,745,Spain,Male,44,1,117626.2,3,0,0,111914.75,0
280,15600279,Customer00279,525,Spain,Female,35,4,123822.64,1,1,1,151118.84,0
281,15600280,Customer00280,644,France,Male,29,5,5259.18,3,1,0,57477.95,0
282,15600281,Customer00281,630,France,Male,60,5,0.0,2,1,1,79081.9,1
283,15600282,Customer00282,499,France,Female,29,10,172818.34,1,1,1,133551.46,0
284,15600283,Customer00283,601,France,Male,27,7,15077.42,1,1,1,67091.81,0
285,15600284,Customer00284,702,Germany,Female,37,4,118448.75,1,0,0,120155.2,0
286,15600285,Customer00285,508,France,Female,31,10,25669.85,2,1,1,39175.94,0
287,15600286,Customer00286,785,France,Female,39,8,69535.28,1,1,1,170685.51,0
288,15600287,Customer00287,695,France,Male,41,8,17181.15,1,1,0,144364.7,0
289,15600288,Customer00288,683,Germany,Female,41,6,0.0,3,0,0,57088.48,1
290,15600289,Customer00289,651,France,Female,38,0,0.0,1,1,1,163729.35,0
291,15600290,Customer00290,545,Spain,Male,32,10,101561.05,1,0,1,125257.39,0
292,15600291,Customer00291,588,France,Male,46,7,131202.22,2,0,1,46118.33,0
293,15600292,Customer00292,685,Spain,Female,38,1,151403.01,3,1,0,140429.6,0
294,15600293,Customer00293,587,France,Female,34,2,35578.11,2,1,1,141927.14,0
295,15600294,Customer00294,668,Spain,Male,55,3,98311.85,1,1,0,9778.79,0
296,15600295,Customer00295,564,Spain,Female,38,2,7913.81,1,1,1,1000.0,0
297,15600296,Customer00296,693,Spain,Male,50,6,69137.34,2,1,1,77577.95,0
298,15600297,Customer00297,701,Spain,Female,52,6,0.0,2,1,1,58406.1,0
299,15600298,Customer00298,494,Spain,Female,53,2,0.0,2,1,1,137340.29,0
300,15600299,Customer00299,656,Germany,Female,46,7,110664.56,1,1,0,62500.23,0
301,15600300,Customer00300,504,Spain,Male,39,3,66343.21,2,1,0,66177.34,0
302,15600301,Customer00301,471,France,Female,38,1,0.0,2,1,0,205052.73,0
303,15600302,Customer00302,593,Germany,Female,36,10,151919.53,2,1,1,173270.4,0
304,15600303,Customer00303,850,Germany,Male,18,3,49484.05,1,0,1,13285.06,0
305,15600304,Customer00304,724,Spain,Male,47,2,128712.29,1,0,0,178584.11,0
306,15600305,Customer00305,784,France,Female,42,7,165458.45,1,1,0,191175.9,0
307,15600306,Customer00306,708,France,Male,48,8,0.0,2,1,0,93061.23,0
308,15600307,Customer00307,670,Germany,Male,38,1,64335.62,2,1,1,78624.84,0
309,15600308,Customer00308,736,France,Female,46,0,15694.94,1,1,1,1000.0,0
310,15600309,Customer00309,589,France,Male,25,9,31984.24,2,1,0,23911.7,0
311,15600310,Customer00310,695,France,Male,27,5,0.0,2,1,1,94815.91,0
312,15600311,Customer00311,763,France,Female,18,5,0.0,1,1,1,74133.1,0
313,15600312,Customer00312,717,France,Female,38,4,122381.32,2,1,0,81485.88,0
314,15600313,Customer00313,769,France,Female,31,6,83278.72,1,1,1,121789.46,0
315,15600314,Customer00314,668,France,Female,30,7,0.0,2,1,1,203345.46,0
316,15600315,Customer00315,812,France,Male,43,0,0.0,2,1,1,67327.6,0
317,15600316,Customer00316,630,France,Male,35,2,161576.07,2,1,0,67428.64,0
318,15600317,Customer00317,850,Germany,Male,24,10,113799.17,1,0,1,93579.54,0
319,15600318,Customer00318,705,France,Female,66,1,0.0,1,1,0,86202.7,1
320,15600319,Customer00319,613,Spain,Female,39,9,281099.68,1,1,1,198696.63,0
321,15600320,Customer00320,537,Spain,Female,28,4,96340.63,1,1,0,89964.66,0
322,15600321,Customer00321,572,France,Male,32,2,0.0,2,1,1,153609.94,0
323,15600322,Customer00322,558,France,Female,37,6,7731.8,2,1,0,220000.0,0
324,15600323,Customer00323,641,Germany,Male,37,7,94944.45,2,0,1,201149.72,0
325,15600324,Customer00324,528,Spain,Male,53,3,0.0,2,1,0,90822.15,0
326,15600325,Customer00325,774,Germany,Female,38,8,65336.76,1,1,0,74437.01,0
327,15600326,Customer00326,661,Spain,Male,58,0,66425.23,1,1,0,46291.71,0
328,15600327,Customer00327,657,Germany,Male,34,1,27365.01,1,1,1,107258.78,0
329,15600328,Customer00328,538,Germany,Male,43,6,99176.49,2,0,0,10578.59,0
330,15600329,Customer00329,576,France,Male,50,6,162450.37,1,1,0,220000.0,0
331,15600330,Customer00330,437,Germany,Female,52,7,183405.0,1,1,1,69919.94,1
332,15600331,Customer00331,805,France,Male,53,9,0.0,1,1,1,103526.85,0
